"Região de Saúde";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021"
"Município ignorado                               ";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0";"0,0"
"Baía da Ilha Grande                               ";"33,2";"36,1";"33,9";"35,6";"32,7";"30,7";"31,2";"29,3";"26,1";"27,7";"34,1"
"Baixada Litorânea                                 ";"34,4";"37,3";"37,5";"31,4";"34,6";"38,9";"37,8";"39,8";"33,7";"36,8";"42,2"
"Centro-Sul                                        ";"57,5";"51,4";"60,8";"52,1";"49,7";"49,5";"43,9";"44,8";"45,8";"54,7";"47,1"
"Médio Paraíba                                     ";"38,1";"37,7";"39,9";"32,3";"35,2";"36,0";"38,1";"37,2";"36,6";"41,4";"37,4"
"Metropolitana I                                   ";"44,4";"40,5";"39,2";"37,2";"36,1";"38,4";"37,8";"40,5";"41,4";"43,8";"40,7"
"Metropolitana II                                  ";"40,8";"39,6";"40,7";"39,7";"35,0";"36,1";"35,1";"38,4";"36,8";"40,9";"40,3"
"Noroeste                                          ";"44,7";"33,9";"33,8";"36,0";"40,5";"46,5";"47,5";"48,1";"46,0";"47,5";"51,5"
"Norte                                             ";"31,7";"31,0";"32,0";"33,1";"34,1";"31,1";"34,4";"33,5";"35,1";"37,2";"40,8"
"Serrana                                           ";"46,4";"43,7";"42,6";"40,8";"40,0";"44,5";"50,3";"51,7";"43,0";"51,7";"51,1"
"Total";"42,8";"39,9";"39,5";"37,3";"36,3";"38,2";"38,2";"40,3";"39,9";"43,1";"41,4"
