"Município";"Baía da Ilha Grande                               ";"Baixada Litorânea                                 ";"Centro-Sul                                        ";"Médio Paraíba                                     ";"Metropolitana I                                   ";"Metropolitana II                                  ";"Noroeste                                          ";"Norte                                             ";"Serrana                                           ";"Total"
"Angra dos Reis";"12,2";"0";"0";"0";"0";"0";"0";"0";"0";"12,2"
"Aperibé";"0";"0";"0";"0";"0";"0";"19,0";"0";"0";"19,0"
"Araruama";"0";"18,9";"0";"0";"0";"0";"0";"0";"0";"18,9"
"Areal";"0";"0";"17,6";"0";"0";"0";"0";"0";"0";"17,6"
"Armação dos Búzios";"0";"12,5";"0";"0";"0";"0";"0";"0";"0";"12,5"
"Arraial do Cabo";"0";"18,3";"0";"0";"0";"0";"0";"0";"0";"18,3"
"Barra do Piraí";"0";"0";"0";"19,0";"0";"0";"0";"0";"0";"19,0"
"Barra Mansa";"0";"0";"0";"18,0";"0";"0";"0";"0";"0";"18,0"
"Belford Roxo";"0";"0";"0";"0";"13,3";"0";"0";"0";"0";"13,3"
"Bom Jardim";"0";"0";"0";"0";"0";"0";"0";"0";"17,8";"17,8"
"Bom Jesus do Itabapoana";"0";"0";"0";"0";"0";"0";"19,8";"0";"0";"19,8"
"Cabo Frio";"0";"16,2";"0";"0";"0";"0";"0";"0";"0";"16,2"
"Cachoeiras de Macacu";"0";"0";"0";"0";"0";"0";"0";"0";"16,4";"16,4"
"Cambuci";"0";"0";"0";"0";"0";"0";"22,2";"0";"0";"22,2"
"Campos dos Goytacazes";"0";"0";"0";"0";"0";"0";"0";"15,5";"0";"15,5"
"Cantagalo";"0";"0";"0";"0";"0";"0";"0";"0";"19,7";"19,7"
"Carapebus";"0";"0";"0";"0";"0";"0";"0";"14,5";"0";"14,5"
"Cardoso Moreira";"0";"0";"0";"0";"0";"0";"19,9";"0";"0";"19,9"
"Carmo";"0";"0";"0";"0";"0";"0";"0";"0";"18,5";"18,5"
"Casimiro de Abreu";"0";"14,2";"0";"0";"0";"0";"0";"0";"0";"14,2"
"Comendador Levy Gasparian";"0";"0";"18,6";"0";"0";"0";"0";"0";"0";"18,6"
"Conceição de Macabu";"0";"0";"0";"0";"0";"0";"0";"15,9";"0";"15,9"
"Cordeiro";"0";"0";"0";"0";"0";"0";"0";"0";"19,0";"19,0"
"Duas Barras";"0";"0";"0";"0";"0";"0";"0";"0";"16,1";"16,1"
"Duque de Caxias";"0";"0";"0";"0";"13,9";"0";"0";"0";"0";"13,9"
"Engenheiro Paulo de Frontin";"0";"0";"18,8";"0";"0";"0";"0";"0";"0";"18,8"
"Guapimirim";"0";"0";"0";"0";"0";"0";"0";"0";"13,4";"13,4"
"Iguaba Grande";"0";"21,3";"0";"0";"0";"0";"0";"0";"0";"21,3"
"Itaboraí";"0";"0";"0";"0";"0";"14,8";"0";"0";"0";"14,8"
"Itaguaí";"0";"0";"0";"0";"13,1";"0";"0";"0";"0";"13,1"
"Italva";"0";"0";"0";"0";"0";"0";"22,0";"0";"0";"22,0"
"Itaocara";"0";"0";"0";"0";"0";"0";"22,1";"0";"0";"22,1"
"Itaperuna";"0";"0";"0";"0";"0";"0";"18,8";"0";"0";"18,8"
"Itatiaia";"0";"0";"0";"15,7";"0";"0";"0";"0";"0";"15,7"
"Japeri";"0";"0";"0";"0";"11,1";"0";"0";"0";"0";"11,1"
"Laje do Muriaé";"0";"0";"0";"0";"0";"0";"18,8";"0";"0";"18,8"
"Macaé";"0";"0";"0";"0";"0";"0";"0";"10,1";"0";"10,1"
"Macuco";"0";"0";"0";"0";"0";"0";"0";"0";"17,4";"17,4"
"Magé";"0";"0";"0";"0";"14,5";"0";"0";"0";"0";"14,5"
"Mangaratiba";"15,3";"0";"0";"0";"0";"0";"0";"0";"0";"15,3"
"Maricá";"0";"0";"0";"0";"0";"17,1";"0";"0";"0";"17,1"
"Mendes";"0";"0";"20,9";"0";"0";"0";"0";"0";"0";"20,9"
"Mesquita";"0";"0";"0";"0";"16,1";"0";"0";"0";"0";"16,1"
"Miguel Pereira";"0";"0";"23,1";"0";"0";"0";"0";"0";"0";"23,1"
"Miracema";"0";"0";"0";"0";"0";"0";"19,7";"0";"0";"19,7"
"Natividade";"0";"0";"0";"0";"0";"0";"20,7";"0";"0";"20,7"
"Nilópolis";"0";"0";"0";"0";"18,1";"0";"0";"0";"0";"18,1"
"Niterói";"0";"0";"0";"0";"0";"22,9";"0";"0";"0";"22,9"
"Nova Friburgo";"0";"0";"0";"0";"0";"0";"0";"0";"20,5";"20,5"
"Nova Iguaçu";"0";"0";"0";"0";"14,7";"0";"0";"0";"0";"14,7"
"Paracambi";"0";"0";"16,0";"0";"0";"0";"0";"0";"0";"16,0"
"Paraíba do Sul";"0";"0";"18,0";"0";"0";"0";"0";"0";"0";"18,0"
"Paraty";"13,2";"0";"0";"0";"0";"0";"0";"0";"0";"13,2"
"Paty do Alferes";"0";"0";"17,8";"0";"0";"0";"0";"0";"0";"17,8"
"Petrópolis";"0";"0";"0";"0";"0";"0";"0";"0";"19,2";"19,2"
"Pinheiral";"0";"0";"0";"17,0";"0";"0";"0";"0";"0";"17,0"
"Piraí";"0";"0";"0";"18,0";"0";"0";"0";"0";"0";"18,0"
"Porciúncula";"0";"0";"0";"0";"0";"0";"17,3";"0";"0";"17,3"
"Porto Real";"0";"0";"0";"12,6";"0";"0";"0";"0";"0";"12,6"
"Quatis";"0";"0";"0";"16,2";"0";"0";"0";"0";"0";"16,2"
"Queimados";"0";"0";"0";"0";"13,0";"0";"0";"0";"0";"13,0"
"Quissamã";"0";"0";"0";"0";"0";"0";"0";"14,0";"0";"14,0"
"Resende";"0";"0";"0";"15,9";"0";"0";"0";"0";"0";"15,9"
"Rio Bonito";"0";"0";"0";"0";"0";"16,3";"0";"0";"0";"16,3"
"Rio Claro";"0";"0";"0";"16,9";"0";"0";"0";"0";"0";"16,9"
"Rio das Flores";"0";"0";"0";"16,1";"0";"0";"0";"0";"0";"16,1"
"Rio das Ostras";"0";"10,5";"0";"0";"0";"0";"0";"0";"0";"10,5"
"Rio de Janeiro";"0";"0";"0";"0";"18,9";"0";"0";"0";"0";"18,9"
"Santa Maria Madalena";"0";"0";"0";"0";"0";"0";"0";"0";"20,3";"20,3"
"Santo Antônio de Pádua";"0";"0";"0";"0";"0";"0";"19,8";"0";"0";"19,8"
"São Fidélis";"0";"0";"0";"0";"0";"0";"0";"19,7";"0";"19,7"
"São Francisco de Itabapoana";"0";"0";"0";"0";"0";"0";"0";"16,7";"0";"16,7"
"São Gonçalo";"0";"0";"0";"0";"0";"16,6";"0";"0";"0";"16,6"
"São João da Barra";"0";"0";"0";"0";"0";"0";"0";"17,2";"0";"17,2"
"São João de Meriti";"0";"0";"0";"0";"15,9";"0";"0";"0";"0";"15,9"
"São José de Ubá";"0";"0";"0";"0";"0";"0";"19,2";"0";"0";"19,2"
"São José do Vale do Rio Preto";"0";"0";"0";"0";"0";"0";"0";"0";"15,4";"15,4"
"São Pedro da Aldeia";"0";"15,1";"0";"0";"0";"0";"0";"0";"0";"15,1"
"São Sebastião do Alto";"0";"0";"0";"0";"0";"0";"0";"0";"19,8";"19,8"
"Sapucaia";"0";"0";"17,3";"0";"0";"0";"0";"0";"0";"17,3"
"Saquarema";"0";"17,7";"0";"0";"0";"0";"0";"0";"0";"17,7"
"Seropédica";"0";"0";"0";"0";"14,5";"0";"0";"0";"0";"14,5"
"Silva Jardim";"0";"0";"0";"0";"0";"15,3";"0";"0";"0";"15,3"
"Sumidouro";"0";"0";"0";"0";"0";"0";"0";"0";"15,8";"15,8"
"Tanguá";"0";"0";"0";"0";"0";"14,6";"0";"0";"0";"14,6"
"Teresópolis";"0";"0";"0";"0";"0";"0";"0";"0";"18,2";"18,2"
"Trajano de Moraes";"0";"0";"0";"0";"0";"0";"0";"0";"19,0";"19,0"
"Três Rios";"0";"0";"17,4";"0";"0";"0";"0";"0";"0";"17,4"
"Valença";"0";"0";"0";"20,4";"0";"0";"0";"0";"0";"20,4"
"Varre-Sai";"0";"0";"0";"0";"0";"0";"12,5";"0";"0";"12,5"
"Vassouras";"0";"0";"18,2";"0";"0";"0";"0";"0";"0";"18,2"
"Volta Redonda";"0";"0";"0";"19,9";"0";"0";"0";"0";"0";"19,9"
"Total";"12,8";"15,6";"18,1";"18,3";"17,3";"17,9";"19,5";"14,2";"18,5";"17,2"
